x,per_episode
0.000000000000000000e+00,-3.171986367313377286e+01
1.000000000000000000e+00,-3.161468932476358162e+01
2.000000000000000000e+00,-3.153741339985382197e+01
3.000000000000000000e+00,-3.151525440424227398e+01
4.000000000000000000e+00,-3.159872692237635761e+01
5.000000000000000000e+00,-3.182544196702403028e+01
6.000000000000000000e+00,-3.189916613864915007e+01
7.000000000000000000e+00,-3.203996842066623429e+01
8.000000000000000000e+00,-3.225894919996418508e+01
9.000000000000000000e+00,-3.134835152796110336e+01
1.000000000000000000e+01,-3.150613432978376949e+01
1.100000000000000000e+01,-3.179091668920114344e+01
1.200000000000000000e+01,-3.148830447998741988e+01
1.300000000000000000e+01,-3.230211121771336025e+01
1.400000000000000000e+01,-3.148290013907221407e+01
1.500000000000000000e+01,-3.161926491902180558e+01
1.600000000000000000e+01,-3.175476948610675620e+01
1.700000000000000000e+01,-3.154398238973575630e+01
1.800000000000000000e+01,-3.172858385531524661e+01
1.900000000000000000e+01,-3.183991956213398922e+01
2.000000000000000000e+01,-3.151685281944008210e+01
2.100000000000000000e+01,-3.200178428816966658e+01
2.200000000000000000e+01,-3.181123555446178486e+01
2.300000000000000000e+01,-3.229001960786914083e+01
2.400000000000000000e+01,-3.219864419155131685e+01
2.500000000000000000e+01,-3.226230088178242283e+01
2.600000000000000000e+01,-3.168247470998734627e+01
2.700000000000000000e+01,-3.177706666628693455e+01
2.800000000000000000e+01,-3.167847227005433197e+01
2.900000000000000000e+01,-3.175396683820883936e+01
3.000000000000000000e+01,-3.165369830940732143e+01
3.100000000000000000e+01,-3.155891169803295426e+01
3.200000000000000000e+01,-3.167364107539463447e+01
3.300000000000000000e+01,-3.236559598883898303e+01
3.400000000000000000e+01,-3.162516411391101556e+01
3.500000000000000000e+01,-3.154887236129443195e+01
3.600000000000000000e+01,-3.156230675551076814e+01
3.700000000000000000e+01,-3.195417706485791243e+01
3.800000000000000000e+01,-3.164176173430494998e+01
3.900000000000000000e+01,-3.200549235668156456e+01
4.000000000000000000e+01,-3.220214095797482656e+01
4.100000000000000000e+01,-3.162907924852032693e+01
4.200000000000000000e+01,-3.176602533095159586e+01
4.300000000000000000e+01,-3.167257770845676035e+01
4.400000000000000000e+01,-3.153930895979096150e+01
4.500000000000000000e+01,-3.191142438716851260e+01
4.600000000000000000e+01,-3.185266165387829673e+01
4.700000000000000000e+01,-3.139816306601273865e+01
4.800000000000000000e+01,-3.199862571667063804e+01
4.900000000000000000e+01,-3.170764647023373684e+01
5.000000000000000000e+01,-3.174177668462669999e+01
5.100000000000000000e+01,-3.161010624868471197e+01
5.200000000000000000e+01,-3.184150325153255423e+01
5.300000000000000000e+01,-3.205578386827838244e+01
5.400000000000000000e+01,-3.140271633516892535e+01
5.500000000000000000e+01,-3.167588741620351556e+01
5.600000000000000000e+01,-3.214834870147837620e+01
5.700000000000000000e+01,-3.174157852041027894e+01
5.800000000000000000e+01,-3.130732948150640382e+01
5.900000000000000000e+01,-3.173352551593657012e+01
6.000000000000000000e+01,-3.213454191968119744e+01
6.100000000000000000e+01,-3.146396754844909083e+01
6.200000000000000000e+01,-3.137033186064795842e+01
6.300000000000000000e+01,-3.149102643375251276e+01
6.400000000000000000e+01,-3.250754861645860672e+01
6.500000000000000000e+01,-3.204726853627456507e+01
6.600000000000000000e+01,-3.161075149301759879e+01
6.700000000000000000e+01,-3.128995843993557813e+01
6.800000000000000000e+01,-3.181384483309009426e+01
6.900000000000000000e+01,-3.156168988533931952e+01
7.000000000000000000e+01,-3.142722318981046215e+01
7.100000000000000000e+01,-3.174301243338189948e+01
7.200000000000000000e+01,-3.211397018135871662e+01
7.300000000000000000e+01,-3.170271693284760062e+01
7.400000000000000000e+01,-3.127589124995570913e+01
7.500000000000000000e+01,-3.189420463828969687e+01
7.600000000000000000e+01,-3.162095416945676973e+01
7.700000000000000000e+01,-3.173452939151215446e+01
7.800000000000000000e+01,-3.179002541429964879e+01
7.900000000000000000e+01,-3.158551649122549421e+01
8.000000000000000000e+01,-3.237795330472953736e+01
8.100000000000000000e+01,-3.184555798343458832e+01
8.200000000000000000e+01,-3.189491289736800894e+01
8.300000000000000000e+01,-3.153819648910975104e+01
8.400000000000000000e+01,-3.173048884775411338e+01
8.500000000000000000e+01,-3.141875000483600289e+01
8.600000000000000000e+01,-3.128191561079142957e+01
8.700000000000000000e+01,-3.142508373049199477e+01
8.800000000000000000e+01,-3.188527256822164802e+01
8.900000000000000000e+01,-3.241837347751718568e+01
9.000000000000000000e+01,-3.137862559923627970e+01
9.100000000000000000e+01,-3.138173896302116717e+01
9.200000000000000000e+01,-3.237342505400190618e+01
9.300000000000000000e+01,-3.152090064758899146e+01
9.400000000000000000e+01,-3.159041111161460336e+01
9.500000000000000000e+01,-3.159099419445916368e+01
9.600000000000000000e+01,-3.147399614817307878e+01
9.700000000000000000e+01,-3.215501101730460931e+01
9.800000000000000000e+01,-3.203581455472856021e+01
9.900000000000000000e+01,-3.185486803140676670e+01
